카드명,코스트,사용 횟수,시전 방식,사거리,대상,범위,키워드,효과
전투 개시,6,1,범위,0,시전자,1,,전투 개시: 3
완벽한 기회,8,1,범위,0,시전자,1,,전투 개시: 4
결투,6,1,대상 지정,1,적,0,,전투 개시: 한 명이 처치될 때까지
교전,4,1,범위,0,시전자,1,,"전투 개시: 3, 레인에 있는 대상 제외"
전투 준비,2,1,위치 지정,3,위치,0,,"지정 위치로 이동. 다음 전투 개시 카드 비용 감소: 1"
정밀 이동,0,1,위치 지정,1,위치,0,,"지정 위치로 이동. 사용 후 손패 맨 왼쪽으로 돌아오며, 이번 전투 단계에서 카드 비용 증가: 1"
공격,1,1,대상 지정,1,적,0,,공격: 1
필중,2,1,대상 지정,1,적,0,,"공격: 1, 필중"
연속 공격,3,1,대상 지정,1,적,0,,"공격: 1, 명중 시 이 카드 효과를 반복"
전진,1,1,범위,0,적,1,,전진: 1
교환,0,1,즉시,0,핸드,0,,"드로우: 2, 버리기: 2"
조정,0,3,즉시,0,핸드,0,소멸,"드로우: 1, 전략 점수: 1"
임기응변,0,3,즉시,0,핸드,0,소멸,찾기: 1
재빠른 사고,0,3,즉시,0,핸드,0,소멸,드로우: 2
집중,0,3,즉시,0,핸드,0,소멸,이번 작전 단계에서 드로우하는 카드 비용 감소: 1
사전 준비,2,1,즉시,0,핸드,0,,핸드 내에 있는 모든 카드 비용 감소: 1
아드레날린,0,1,즉시,0,핸드,0,소멸,"드로우: 3, 전략 점수: 4"
계획 살인,2,1,즉시,0,핸드,0,,"사용 후, 이번 작전 단계에서 적을 처치했다면 전략 점수: 4"
복귀,0,1,대상 지정,99,아군,0,,아군을 본진으로 귀환
보호,2,1,대상 지정,99,아군,0,,보호막: 아군 체력의 20%
약탈,1,1,위치 지정,99,위치,0,,"아군 정글 타일과 인접한 상대 정글 타일을 지정. 해당 정글 타일을 10턴 동안 점령"
