id,name,cost,uses,cast_method,target,cast_range,area,keyword,effect,description,scope,pool,card_type,card_cat
1,전투 개시,6,1,range,caster,0,1,,engage:3,전투 개시: 3라운드,any,1,mech,-
2,완벽한 기회,8,1,range,caster,0,1,,engage:4,전투 개시: 4라운드,any,1,mech,-
3,결투,6,1,target,enemy,1,0,,duel,결투: 한 명이 처치될 때까지 (최대 10라운드),any,0,mech,-
5,전투 준비,2,1,location,location,3,0,,move;cost_reduce_engage:1,"지정 위치로 이동. 다음 전투 개시 카드 비용 감소: 1",jungle,1,pilot,jungle
6,정밀 이동,0,1,location,location,1,0,,move;return_left:1,"지정 위치로 이동. 사용 후 손패 맨 왼쪽으로 돌아오며, 이 카드의 비용 증가: 1",jungle,1,pilot,jungle
7,공격,1,1,target,enemy,1,0,,attack:1,공격: 1,any,1,mech,-
8,필중,2,1,target,enemy,1,0,,attack:1|pierce,"공격: 1, 필중",any,1,mech,-
9,연속 공격,3,1,target,enemy,1,0,,attack:1|repeat,"공격: 1, 명중 시 이 카드 효과를 반복",any,1,mech,-
11,전진,1,1,range,enemy,0,1,,advance:1,전진: 1,lane,1,mech,-
12,교환,0,1,instant,hand,0,0,,draw:2;discard:2,"드로우: 2, 버리기: 2",any,1,pilot,draw
13,조정,0,3,instant,hand,0,0,exhaust,draw:1;strategy:1,"드로우: 1, 전략 점수: 1",any,1,pilot,draw
14,임기응변,0,3,instant,hand,0,0,exhaust,search:1,찾기: 1,any,1,pilot,draw
15,재빠른 사고,0,3,instant,hand,0,0,exhaust,draw:2,드로우: 2,any,1,pilot,draw
16,집중,0,3,instant,hand,0,0,exhaust,cost_reduce_draw_phase:1,이번 작전 단계에서 드로우하는 카드 비용 감소: 1,any,1,pilot,draw
17,사전 준비,2,1,instant,hand,0,0,,cost_reduce_hand:1,핸드 내에 있는 모든 카드 비용 감소: 1,any,1,pilot,draw
18,아드레날린,2,1,instant,hand,0,0,exhaust,strategy:6;strategy_next_phase:-2,"전략 점수: 6, 다음 작전 단계 시작 시 전략 점수 -2",any,1,pilot,draw
19,계획 살인,2,1,instant,hand,0,0,,strategy_on_kill:4,"사용 후, 이번 작전 단계에서 적을 처치했다면 전략 점수: 4",any,1,pilot,draw
21,복귀,0,1,target,ally,99,0,,recall_ally,아군을 본진으로 귀환,any,1,pilot,common
22,보호,2,1,target,ally,99,0,,shield_pct:20,보호막: 아군 체력의 20%,any,1,mech,-
23,약탈,1,1,location,location,99,0,,steal_camp:1,"성장 포인트가 남아 있는 상대 정글 타일 하나를 골라 그 포인트를 가로챈다",jungle,1,mech,-
24,안전한 파밍,3,1,instant,hand,0,0,,lane_stat:-10|turns:10;growth:10|turns:10,"10턴 동안 라인전 스탯 -10%, 성장 +10%",lane,1,pilot,lane
25,공격적인 라인전,3,1,instant,hand,0,0,,lane_stat:10|turns:10,10턴 동안 라인전 스탯 +10%,lane,1,pilot,lane
26,재고,0,1,instant,hand,0,0,,discard_hand_draw,"손패를 전부 버리고, 버린 수만큼 드로우",any,1,pilot,draw
27,완벽한 마무리,0,1,instant,hand,0,0,,discard_hand;growth_until_phase:25;end_phase,"손패를 전부 버린다. 다음 작전 단계까지 아군 전원 성장 +25%. 작전 단계 종료",any,1,pilot,draw
28,계획 중시,1,1,instant,hand,0,0,,preserve:2,손패 2장을 다음 작전 단계까지 보존,any,1,pilot,draw
29,과감한 정리,2,1,instant,hand,0,0,,discard_right:3;draw:5,"손패 오른쪽 3장을 버리고 드로우: 5",any,1,pilot,draw
30,솔로 퍼포먼스,4,1,instant,hand,0,0,,discard_other_pilots|strategy_each:1;draw:4,"다른 파일럿의 카드를 전부 버리고 장당 전략 점수 +1, 드로우: 4",any,1,pilot,draw
31,정글 파밍,1,1,location,location,99,0,,move|own_jungle,아군이 소유한 정글 타일로 이동,jungle,1,pilot,jungle
32,전령 제압,0,1,location,location,99,0,exhaust|preserve,turret_damage:8,지정한 최외곽 적 포탑에 피해: 8,any,0,mech,-
33,용 보상,0,1,target,ally,99,0,exhaust,draw:1;growth_perm:10,"드로우: 1, 지정한 아군 파일럿의 성장 효율 +10%",any,0,pilot,common
