id,team_id,name,role,field_hit,field_eva,engage_hit,engage_eva,atk_growth,hp_growth
100,100,Zhu Yuan,0,90,86,88,90,89,88
101,100,Lycaon,1,86,88,90,87,88,84
102,100,Soukaku,2,93,92,94,90,92,92
103,100,Seth,3,86,90,84,88,86,86
104,100,Harumasa,4,90,88,92,87,90,86
105,101,Anton,0,82,78,80,82,81,80
106,101,Ben,1,80,82,84,83,84,76
107,101,Billy,2,86,86,84,85,84,84
108,101,Lighter,3,80,84,78,82,80,80
109,101,Pulchra,4,86,82,88,82,85,80
110,102,Hugo,0,84,80,82,84,83,82
111,102,Nangong,1,82,84,86,84,85,80
112,102,Banyue,2,88,86,86,84,85,86
113,102,Sigrid,3,82,86,82,86,84,84
114,102,Velina,4,88,86,90,84,87,82
115,103,Remielle,0,76,72,74,76,75,72
116,103,Manato,1,72,74,76,75,76,68
117,103,Roxy,2,80,80,78,78,78,76
118,103,Claret,3,74,80,72,78,75,80
119,103,Soldier 11,4,80,76,82,76,79,72
