id,lane_id,team,step,col,row
0,0,0,0,4,0
1,0,0,1,0,2
2,0,0,2,0,4
3,0,0,3,0,5
4,0,0,4,0,6
5,0,0,5,0,8
6,0,0,6,4,10
7,1,0,0,4,0
8,1,0,1,4,2
9,1,0,2,4,4
10,1,0,3,4,5
11,1,0,4,4,6
12,1,0,5,4,8
13,1,0,6,4,10
14,2,0,0,4,0
15,2,0,1,8,2
16,2,0,2,8,4
17,2,0,3,8,5
18,2,0,4,8,6
19,2,0,5,8,8
20,2,0,6,4,10
21,0,1,0,4,10
22,0,1,1,0,8
23,0,1,2,0,6
24,0,1,3,0,5
25,0,1,4,0,4
26,0,1,5,0,2
27,0,1,6,4,0
28,1,1,0,4,10
29,1,1,1,4,8
30,1,1,2,4,6
31,1,1,3,4,5
32,1,1,4,4,4
33,1,1,5,4,2
34,1,1,6,4,0
35,2,1,0,4,10
36,2,1,1,8,8
37,2,1,2,8,6
38,2,1,3,8,5
39,2,1,4,8,4
40,2,1,5,8,2
41,2,1,6,4,0
