id,mech_id,key,name,p1,p2,keyword,description
0,0,bulk_power,과적재,10,0,성장,최대 체력 10 마다 공격력 +1
1,1,reactive_plating,반응 장갑 전개,2,0,교전,"교전 시 자신에게 [반응 장갑] 2 부여. 반응 장갑: 공격 당할 시 90% 피해 감소 및 이 효과 1회 제거"
2,2,pain_pleasure,고통과 쾌감,20,0,"성장, 포탑 파괴","피해를 받거나 줄 때 그 20% 만큼 최대 체력 증가. 자신의 레인 포탑을 파괴할 때마다 덱에 [고통과 쾌감] 생성"
3,6,victory_report,승전보,0,0,오브젝트,용 또는 전령 싸움에서 승리 시 핸드에 [승전보] 1장 생성
4,7,demolition_order,철거 명령,0,0,오브젝트,용 또는 전령 싸움에서 승리 시 핸드에 [철거] 1장 생성
5,8,execution_charge,처형 준비,0,5,"처치 관여, 포탑 파괴","적 처치 또는 포탑 파괴 시 +1 충전 (최대 5). 최대 충전일 때 핸드에 [처형] 생성"
6,9,soul_harvest,영혼 수확,1,5,성장,전장에서 카드 공격을 명중하거나 교전에서 적에게 피해를 줄 때마다 공격력 +1% 및 최대 체력 +5
7,12,overclock,오버클럭,20,100,교전,"게임 시작 시 +20 충전 (최대 100). 교전 중 적에게 피해를 줄 때 1 충전마다 1% 확률로 1회 더 공격 및 충전 절반 소모"
8,14,zen_charge,무념,0,6,전투,"카드를 사용하거나 버릴 때마다 +1 충전 (최대 6). 최대 충전 시 충전을 모두 소모해 사거리 1 내 모든 적 공격"
9,19,guardian_link,수호 연계,0,0,지원,이 메크의 보호막을 받은 아군이 전장에서 적에게 피해를 줄 때마다 이 메크가 그 적을 공격
10,22,last_stand,불굴,0,0,교전,교전 시 모든 아군이 한 번에 한해 공격 받아도 체력 1 이하로 내려가지 않음
11,24,vulnerability_mark,취약 각인,10,0,취약,"이번 작전 단계 동안 공격 명중 시마다 대상에게 취약 10 부여. 취약: 1마다 받는 피해 1% 증가"
12,26,missile_stock,미사일 적재,0,0,포탑 파괴,자신 레인의 포탑이 파괴될 때마다 덱에 [미사일] 1장 생성
13,27,barrage,전탄 발사,0,0,교전,교전 중 공격이 모든 적을 대상으로 함 (이 메크의 공격력은 다른 원딜 메크의 절반)
14,28,calibration,조준 보정,1,0,성장,전장 공격 명중 시 공격력 +1
