id,name,role,hp,atk,presence
0,Bulwark-A1,0,220,7,4
1,Bulwark-A2,0,200,8,4
2,Aegis-T3,0,240,6,4
6,Striker-B1,1,160,14,4
7,Striker-B2,1,145,16,4
8,Vanguard-R1,1,170,13,4
9,Crusader-M1,1,155,15,4
12,Phantom-S1,2,90,26,4
13,Phantom-S2,2,85,28,4
14,Specter-N1,2,100,24,4
15,Wraith-K1,2,80,30,4
18,Mender-H1,3,130,9,2
19,Mender-H2,3,120,10,2
20,Cleric-P1,3,140,8,2
21,Sage-W1,3,115,11,2
22,Oracle-L1,3,135,9,2
24,Sniper-Q1,4,75,24,2
25,Sniper-Q2,4,85,22,2
26,Hawkeye-Y1,4,90,21,2
27,Marksman-E1,4,80,12,2
28,Longbow-F1,4,95,20,2
