id,key,name,role,type,p1,p2,keyword,description
0,roam,배회,1,cooldown,15,0,로밍,"활성화: 핸드에 있는 가장 낮은 비용의 이동 카드의 비용을 0으로 감소. 핸드에 이동 카드가 없을 시, 휘발성 [이동] 카드를 핸드에 생성"
1,hold_position,위치 고정,1,cooldown,25,0,성장,"활성화: 20턴 간 성장 적립 +20%, 라인전 -20%, 이동 카드 사용 불가, 오브젝트 참여 불가"
2,performance,퍼포먼스,1,passive,0,25,성장,"이 선수의 카드 사용 시마다 +1 충전 (최대 25) / 충전마다 이 파일럿의 모든 능력치 +2%. 전투 이탈 시 -10 충전"
3,opportunist,기회주의자,1,passive,0,0,전투 개시,"전투 중 상대 진영 파일럿을 처치했다면, 해당 전투의 라운드가 일시적으로 1 증가"
4,accumulate,축적,1,passive,0,100,성장,"매 턴 +1 충전 (최대 100) / 충전 수마다 성장 적립 +1%"
5,ops_prep,작전 준비,3,cooldown,35,0,전략 점수,활성화: 이번 작전 단계 동안 모든 카드 비용 -1
6,scheme,계략,3,cooldown,10,0,지원,활성화: 핸드 카드 중 1장에 보존 부여
7,recall_order,복귀 명령,3,cooldown,15,0,지원,"활성화: 휘발성 [복귀] 카드를 핸드에 생성"
8,veteran,노련함,3,passive,0,0,전투,"전장 명중률 +10%, 전장 회피율 -5% / 게임 50턴부터 대신 전장 명중률 +20%, 전장 회피율 -5%"
9,dragon_blessing,용의 가호,3,charge,1,1,지원,"용 오브젝트 등장 시 +1 충전 (최대 1) / 활성화: 1 충전을 소모하여 전략 점수 +3, 드로우: 2"
10,hunt_reward,사냥의 보상,4,passive,0,0,"처치 관여, 성장",적 처치 관여 시 15턴 간 성장 적립 +25%
11,unstable_cannon,불안정한 대포,4,passive,0,0,전투,"가하는 피해 +10%, 받는 피해 +10% / 게임 50턴부터 대신 가하는 피해 +20%, 받는 피해 +20%"
12,backbone,백본,4,passive,0,0,,"게임 시작: 이 선수의 카드를 모두 버린 카드 더미로 이동 / 게임 50턴부터 라인전 능력치 +20%"
13,rookie,신예,4,passive,0,15,성장,"매 턴 +1 충전 (최대 15) / 최대 충전 시 [핫핸드] 카드를 덱에 생성. 전투 이탈 시 충전 초기화"
14,surge,몰아치기,4,passive,0,4,전투,"이 선수의 공격 카드 명중 시마다 +1 충전 (최대 4) / 충전 수마다 전장 명중률 +5%. 작전 단계가 종료되면 충전 초기화"
15,elation,고양감,2,charge,1,3,오브젝트,"용, 전령 전투에서 승리 시 +1 충전 (최대 3) / 활성화: 1 충전을 소모하여 [아드레날린] 카드를 핸드에 생성"
16,fierce_battle,격전,2,cooldown,25,0,전투 개시,"활성화: 덱에서 자신의 전투 개시 카드 드로우: 1. 덱에 전투 개시 카드가 없을 시, 휘발성 [전투 개시] 카드를 핸드에 생성"
17,battle_order,전투 명령,2,cooldown,25,0,"전투 개시, 전략 점수","활성화: 이번 작전 단계 동안 전투 개시 카드 비용 -3, 전투 라운드 -1"
18,plunderer,약탈자,2,charge,1,2,"처치 관여, 성장","적 처치 관여 시 +1 충전 (최대 2) / 활성화: 1 충전을 소모하여 휘발성 [약탈] 카드를 핸드에 생성"
19,loot_collector,전리품 수집가,2,passive,0,5,"처치 관여, 성장","적 파일럿 종류마다 처치 관여 시 공격력 +6% (최대 5) / 최대 충전 시 추가로 공격력 +10% (최대 공격력 +40%)"
20,siege,공성전,0,charge,5,5,"포탑 파괴, 전투 개시","충전 5로 시작. 포탑 파괴 시 +1 충전 (최대 5) / 활성화: 5 충전을 소모하여 다음 전투 개시 카드의 전투 라운드 +3"
21,versatile,만능,0,passive,0,0,,"체력형 메크일 시 존재감 +1, 최대 체력 +20% / 공격형 메크일 시 존재감 -1, 공격력 +20%"
22,adc_hunter,원딜 사냥꾼,0,passive,0,0,전투,"전투 참여 시, 적 원딜 파일럿이 있을 경우 첫 공격은 반드시 적 원딜 파일럿을 공격 및 공격력 +20%"
23,aggressive_push,공격적인 전진,0,cooldown,10,0,포탑 파괴,"활성화: 휘발성 [전진] 카드를 핸드에 생성"
24,rivalry,경쟁 심리,0,passive,0,0,성장,"상대 같은 레인 파일럿과 비교하여 — 성장치 열세: 성장 적립 +10% / 처치 열세: 공격력 +10% / 죽음 우세: 최대 체력 +10%"
