id,team_id,name,role,field_hit,field_eva,engage_hit,engage_eva,atk_growth,hp_growth,skill_id,is_mob
0,5,Nekomata,0,65,65,68,70,69,68,-1,1
1,3,Yuzuha,1,68,70,72,69,70,65,-1,1
2,5,Corin,2,80,85,82,80,81,82,19,0
3,2,Ellen,3,75,82,78,80,79,78,9,0
4,2,Alice,4,70,68,74,68,71,68,-1,1
5,0,Evelyn,0,85,86,82,90,86,85,20,0
6,7,Soldier 0,1,86,84,88,87,88,80,3,0
7,0,Seed,2,92,93,90,90,90,92,15,0
8,0,Koleda,3,88,92,86,90,88,88,5,0
9,0,Burnice,4,93,90,92,88,90,90,10,0
10,1,Orphie,0,86,82,84,86,85,82,21,0
11,0,Shunguang,1,90,90,92,88,90,86,0,0
12,2,Cissia,2,93,90,93,88,90,87,16,0
13,7,Anby,3,82,90,80,86,83,85,7,0
14,4,Dialyn,4,88,82,90,82,86,80,12,0
15,3,Miyabi,0,82,80,84,86,85,80,23,0
16,6,Norma,1,86,90,84,85,84,82,2,0
17,4,Fufu,2,88,90,86,86,86,84,18,0
18,1,Grace,3,80,86,80,82,81,80,8,0
19,5,Piper,4,84,82,86,82,84,80,13,0
20,2,Jane,0,86,80,90,88,89,75,22,0
21,5,Promeia,1,88,86,86,88,87,82,1,0
22,3,Aria,2,92,92,90,90,90,86,17,0
23,6,Vivian,3,84,88,82,86,84,84,6,0
24,3,Lucy,4,88,84,90,84,87,78,11,0
25,4,Astra,0,76,76,75,78,76,76,24,0
26,2,Chandelier,1,70,70,72,68,70,65,-1,1
27,1,Sunna,2,74,76,72,72,72,74,-1,1
28,3,Teatime,3,68,70,65,68,66,68,-1,1
29,1,Lucia,4,72,68,74,70,72,67,-1,1
30,6,Rina,0,61,61,65,65,65,61,-1,1
31,4,Nicole,1,63,65,65,61,63,58,-1,1
32,6,Caesar,2,65,68,65,67,66,63,-1,1
33,4,Zhao,3,61,65,61,65,63,65,-1,1
34,7,Yidhari,4,65,61,68,61,64,61,-1,1
35,7,Yixuan,0,58,59,61,61,61,56,-1,1
36,1,Ink,1,80,82,82,76,79,70,4,0
37,7,Qingyi,2,65,68,63,65,64,65,-1,1
38,5,Trigger,3,61,65,59,65,62,65,-1,1
39,6,Yanagi,4,82,80,84,80,82,78,14,0
