uuid,hero,category,mech,name,count,코스트,키워드,desc,,,
,원딜,메크 패시브,A,,,,,이번 작전 단계동안 공격 명중 시마다 대상에게 취약 10 부여. 취약: 1마다 받는 피해 1% 증가,,,
,원딜,메크 카드,A,천둥 폭풍,1,4,,전장 내 모든 적 공격,,,
,원딜,메크 카드,A,천공의 일격,1,2,,사거리 2 내 적 및 포탑 지정 공격,,,
,원딜,메크 카드,A,꿰뚫는 번개,3,4,,"소멸. 적 포탑 파괴 시마다 덱에 1장 생성. 적의 최외곽 포탑 지정, 아군 HQ부터 지정한 포탑 타일까지 모든 적 및 포탑 공격. ",,,
,원딜,메크 카드,B,캐시,1,-1,,"이 카드가 핸드에 있을 때, 아무 카드 사용 시마다 시전자가 현재 보유한 성장 점수 4% 만큼 성장 점수 획득",,,
,원딜,메크 카드,B,스캐빈저,1,2,,묘지 탐색: 1,,,
,원딜,메크 카드,B,로켓 펀치,1,4,,"사거리 3 내 적 또는 포탑 지정 공격. 명중 시, 전략 점수+2, 덱에서 [캐시] 탐색.",,,
,원딜,메크 패시브,C,,,,,자신 레인의 포탑 파괴될 때마다 덱에 [미사일] 1장 생성.,,,
,원딜,메크 카드,C,미사일,3,4,,"스택. 사거리 3 내 적 또는 포탑 지정, 대상 타일에 스택 수만큼 공격.",,,
,원딜,메크 카드,C,미사일 준비,1,1,,덱에서 [미사일] 탐색: 2,,,
,원딜,메크 카드,C,정밀 폭격,1,4,,"전장 내 적 대상 지정, 대상으로부터 사거리 1 내 모든 적 또는 포탑 공격. 명중한 만큼 핸드에 소멸, 휘발성 [미사일] 1장 생성",,,
,전사,메크 패시브,D,,,,,"용 또는 전령 싸움에서 승리 시, 핸드에 [승전보] 1장 생성",,,
,전사,메크 카드,D,승전보,0,0,,"소멸, 보존. 드로우: 3, 전략 점수+2",,,
,전사,메크 카드,D,돌격,1,6,,"사거리 3 내 적 지정, 대상 1칸 이내 전투 개시: 3",,,
,전사,메크 카드,D,질주,2,0,,"사거리 2 내 아군 정글 타일 지정, 이동.",,,
,탱커,메크 패시브,E,,,,,최대 체력 10 마다 공격력+1,,,
,탱커,메크 카드,E,몸집 불리기,1,2,,자신의 최대 체력 20 증가,,,
,탱커,메크 카드,E,추적,1,3,,"전장 내 적 지정 및 공격. 명중 시 15턴 간 추적. 추적: 대상이 전투에 참여하면, 시전자도 전투에 참여.",,,
,탱커,메크 카드,E,강습,1,8,,전장 내 적 지정. 대상 1칸 이내 전투 개시: 3,,,
,전사,메크 패시브,F,,,,,"용 또는 전령 싸움에서 승리 시, 핸드에 [철거] 1장 생성",,,
,전사,메크 카드,F,철거,0,0,,"휘발성, 소멸. 전장 내 적 포탑 지정, 대상 공격",,,
,전사,메크 카드,F,우세한 전장,1,6,,"사거리 3 이내 전투 개시: 4, 교전에서 생존할 시, 처치된 적 수만큼 핸드에 [철거] 생성.",,,
,전사,메크 카드,F,격렬한 돌진,2,2,,"밀기: 2, 도중에 적이 없을 경우, 추가 밀기: 1",,,
,탱커,메크 패시브,G,,,,,"교전 시, 자신에게 [반응 장갑] 2 부여. 반응 장갑: 공격 당할 시, 90% 피해 감소 및 이 효과 1회 제거",,,
,탱커,메크 카드,G,최첨단 보호,1,3,,"사거리 1 내 아군 지정. 대상 최대 체력의 30% 회복 및 [반응 장갑] 1 부여. 반응 장갑: 공격 당할 시, 90% 피해 감소 및 이 효과 1회 제거",,,
,탱커,메크 카드,G,초고출력,1,4,,"사거리 1 내 모든 적 및 포탑 필중, 명중한 수 만큼 자신에게 [반응 장갑] 1 부여. 반응 장갑: 공격 당할 시, 90% 피해 감소 및 이 효과 1회 제거",,,
,탱커,메크 카드,G,개시,1,8,,사거리 2 이내 전투 개시: 5,,,
,전사,메크 패시브,H,,,,,"적 처치 또는 포탑 파괴 시, +1 충전 (최대 5 충전). 최대 충전일 때, 핸드에 [처형] 생성.",,,
,전사,메크 카드,H,처형,0,4,,"보존, 소멸. 5 충전 미만일 때, 이 카드 제거. 충전을 모두 소모하여 사거리 2 내 최대 체력의 25% 이하인 적 또는 포탑 처치.",,,
