uuid,category,name,진영,키워드,type,typeParam1,typeParam2,desc
,파일럿 스킬,배회,미드,로밍,쿨타임,15,,"활성화: 핸드에 있는 가장 낮은 비용의 이동 카드의 비용을 0으로 감소. 핸드에 이동 카드가 없을 시, 소멸, 휘발성 [이동] 카드를 핸드에 생성."
,파일럿 스킬,위치 고정,미드,성장,쿨타임,25,,"활성화: 20턴 간 파밍 효율+20%, 라인전-20%, 이동 카드 사용 불가, 오브젝트 참여 불가."
,파일럿 스킬,퍼포먼스,미드,성장,패시브,0,25,"이 선수의 카드 사용 시마다 +1 충전 (최대 {typeParam2} 충전)
충전마다 모든 파일럿 능력치+10%. 파일럿 전투 이탈(사망) 시, -10 충전."
,파일럿 스킬,기회주의자,미드,전투 개시,패시브,,,"전투 중, 상대 진영 파일럿을 처치했다면, 해당 전투의 라운드가 일시적으로 1 증가."
,파일럿 스킬,,미드,성장,패시브,,100,"매 턴 +1 충전 (최대 {typeParam2} 충전)
충전 수마다 성장 효율+1%"
,파일럿 스킬,작전 준비,서포터,전략 점수,쿨타임,35,,활성화: 이번 작전 단계동안 모든 카드 비용-1
,파일럿 스킬,계략,서포터,지원,쿨타임,10,,활성화: 핸드 카드 중 1장에 보존 부여.
,파일럿 스킬,복귀 명령,서포터,지원,쿨타임,15,,"활성화: 소멸, 휘발성 [복귀] 카드를 핸드에 생성."
,파일럿 스킬,,서포터,전투,패시브,,,"전장 명중률+10%, 전장 회피율-5%
게임 50턴부터 대신 전장 명중률+20%, 전장 회피율-5%"
,파일럿 스킬,,서포터,지원,충전식,1,1,"용 오브젝트 등장 시, +1 충전
활성화: 충전을 소모하여 전략 점수+3, 드로우: 2"
,파일럿 스킬,,원딜,"처치 관여, 성장",패시브,,,"적 처치 관여 시, 15턴 간 파밍 효율+25%"
,파일럿 스킬,불안정한 대포,원딜,전투,패시브,,,"가하는 피해+10%, 받는 피해+10%
게임 50턴부터 대신 가하는 피해+20%, 받는 피해+20%"
,파일럿 스킬,백본,원딜,,패시브,,,"게임 시작: 이 선수의 카드를 모두 버린 카드 더미로 이동.
게임 50턴부터 라인전 능력치+20%"
,파일럿 스킬,신예,원딜,성장,패시브,0,15,"매 턴 +1 충전 (최대 {typeParam2} 충전)
최대 충전 시, [핫핸드] 카드를 덱에 생성. 파일럿 전투 이탈 시, 충전 초기화."
,파일럿 스킬,몰아치기,원딜,전투,패시브,0,4,"이 선수의 공격 카드 명중 시마다 +1 충전 (최대 {typeParam2} 충전)
충전 수 마다 전장 명중률+5%, 작전 단계가 종료되면 충전 초기화"
,파일럿 스킬,고양감,정글,오브젝트,충전식,1,3,"용, 전령 전투에서 승리 시 +1 충전 (최대 {typeParam2} 충전)
활성화: {typeParam1} 충전 소모하여 [아드레날린] 핸드에 생성."
,파일럿 스킬,격전,정글,전투 개시,쿨타임,25,,"활성화: 덱에서 자신의 전투 개시 카드 드로우: 1, 덱에 전투 개시 카드가 없을 시, 소멸, 휘발성 [전투 개시] 카드를 핸드에 생성."
,파일럿 스킬,전투 명령,정글,"전투 개시, 전략 점수",쿨타임,25,,"활성화: 이번 작전 단계동안 전투 개시 카드 비용-3, 전투 라운드-1"
,파일럿 스킬,,정글,"처치 관여, 성장",충전식,1,2,"적 처치 관여 시 +1 충전. (최대 {typeParam2} 충전)
활성화: 소멸, 휘발성 [약탈] 카드를 핸드에 생성."
,파일럿 스킬,전리품 수집가,정글,"처치 관여, 성장",패시브,0,5,"적 파일럿 종류마다 처치 관여 시, 공격력+6% (최대 {typeParam2} 충전)
최대 충전 시, 추가로 공격력+10% (최대 공격력+40%)"
,파일럿 스킬,,탑,"포탑 파괴, 전투 개시",충전식,5,5,"충전 5. 포탑 파괴 시 +1 충전 (최대 {typeParam2} 충전)
활성화: {typeParam1} 충전 소모하여 다음 전투 개시 카드의 전투 라운드+3"
,파일럿 스킬,만능,탑,,패시브,,,"최대 체력이 공격력보다 높을 시, 존재감+1, 최대 체력+20%
공격력이 최대 체력보다 높을 시, 존재감-1, 공격력+20%"
,파일럿 스킬,원딜 사냥꾼,탑,전투,패시브,,,"전투 참여 시, 적 원딜 파일럿이 있을 경우 첫 공격은 반드시 적 원딜 파일럿을 공격 및 공격력+20%"
,파일럿 스킬,공격적인 전진,탑,포탑 파괴,쿨타임,10,,"활성화: 소멸, 휘발성 [전진] 카드를 핸드에 생성."
,파일럿 스킬,경쟁 심리,탑,성장,패시브,,,"상대 같은 레인 파일럿과 비교하여 아래 효과 획득
- 성장치 열세: 성장+10%
- 처치 열세: 공격력+10%
- 죽음 우세: 최대 체력+10%"
